scenario,peak_depth_m,max_flooded_power,restored_power_final,max_failed_comm,final_phi,min_phi,resilience_auc,recovery_time_h
main,16.59354653617889,1,2,1,0.975,0.975,0.9961956521739128,0.0
baseline1_static_flood,0.4796908666017237,0,0,0,1.0,1.0,0.9999999999999999,0.0
baseline2_no_restoration,16.59354653617889,3,0,10,0.75,0.75,0.951086956521739,0.0
